text,intent
My insurance payment looks wrong as soon as possible,billing_question
Do you accept walk ins and I might need help with billing too,records_request
Do you accept walk ins and I might need help with billing too,general_question
My insurance payment looks wrong as soon as possible,billing_question
I have a question about my invoice as soon as possible,billing_question
Change my appointment time to late afternoon for my child,reschedule_appointment
Can you check me in for my visit please,check_in
I need to book an appointment with a specialist for tomorrow thanks,book_appointment
Why was I charged for my visit thanks,reschedule_appointment
Please provide my clinic record,records_request
Patient check in for the dermatologist please,check_in
What time does the clinic close please,general_question
I need to book an appointment with Dr. Anderson for Friday and I might need help with billing too,book_appointment
I am here to check in please,check_in
I arrived for my appointment thanks,check_in
I am here to check in as soon as possible,cancel_appointment
I want to see a doctor about a rash and I might need help with billing too,book_appointment
Book me in with a specialist at 2 PM,book_appointment
I arrived for my appointment and I might need help with billing too,book_appointment
I will not attend my appointment for my child,cancel_appointment
I need a copy of my medical records thanks,records_request
Can I schedule a visit for knee pain on this afternoon,book_appointment
I want my appointment notes,records_request
Can you explain my bill and I might need help with billing too,billing_question
Please provide my clinic record thanks,records_request
I want my appointment notes as soon as possible,records_request
I need to move my booking with Dr. Anderson and I might need help with billing too,reschedule_appointment
Please cancel my appointment and I might need help with billing too,cancel_appointment
I need to move my booking with Dr. Chen and I might need help with billing too,reschedule_appointment
Where are you located as soon as possible,general_question
Patient check in for Dr. Chen for my child,check_in
Do you accept walk ins thanks,general_question
Patient check in for a specialist and I might need help with billing too,check_in
I need to move my booking with a specialist thanks,reschedule_appointment
I need to book an appointment with a specialist for tomorrow as soon as possible,book_appointment
I arrived for my appointment and I might need help with billing too,check_in
I want to see a doctor about headaches and I might need help with billing too,book_appointment
I arrived for my appointment and I might need help with billing too,check_in
I need a copy of my medical records as soon as possible,records_request
Please cancel my appointment,cancel_appointment
Why was I charged for my visit and I might need help with billing too,billing_question
I want my appointment notes thanks,records_request
I have a question about my invoice thanks,billing_question
I need a copy of my medical records please,records_request
Why was I charged for my visit and I might need help with billing too,billing_question
Can you check me in for my visit,check_in
I arrived for my appointment and I might need help with billing too,check_in
I have a question about my invoice thanks,book_appointment
Please cancel my appointment,cancel_appointment
I am here to check in please,check_in
How can I contact the clinic please,general_question
Where are you located as soon as possible,general_question
I need to book an appointment with Dr. Anderson for this afternoon and I might need help with billing too,book_appointment
I need to book an appointment with Dr. Chen for this afternoon as soon as possible,book_appointment
Do you accept walk ins for my child,general_question
I am here to check in and I might need help with billing too,book_appointment
Book me in with Dr. Anderson at before work as soon as possible,book_appointment
Can you send my test results for my child,records_request
Can I reschedule my appointment to Friday and I might need help with billing too,reschedule_appointment
Can I schedule a visit for a rash on next week as soon as possible,general_question
Where are you located and I might need help with billing too,general_question
I need a copy of my medical records please,records_request
Where are you located for my child,general_question
Why was I charged for my visit please,reschedule_appointment
I have a question about my invoice please,billing_question
I need to book an appointment with a specialist for Friday as soon as possible,book_appointment
Can you check me in for my visit please,check_in
Please provide my clinic record,records_request
I arrived for my appointment and I might need help with billing too,check_in
Can you check me in for my visit thanks,check_in
I need to move my booking with Dr. Chen,reschedule_appointment
Can you send my test results and I might need help with billing too,records_request
I want my appointment notes and I might need help with billing too,records_request
Please provide my clinic record as soon as possible,records_request
Please cancel my appointment,cancel_appointment
Remove my booking for this afternoon as soon as possible,cancel_appointment
I arrived for my appointment and I might need help with billing too,check_in
I am here to check in for my child,check_in
I want to see a doctor about knee pain for my child,book_appointment
Can I schedule a visit for a prescription refill on this afternoon please,book_appointment
I have a question about my invoice please,billing_question
What time does the clinic close as soon as possible,general_question
I cannot make my appointment and need another slot please,reschedule_appointment
Can you explain my bill and I might need help with billing too,billing_question
I cannot make my appointment and need another slot thanks,reschedule_appointment
Can you send my test results as soon as possible,records_request
I arrived for my appointment as soon as possible,check_in
Please provide my clinic record and I might need help with billing too,records_request
Where are you located,general_question
Where are you located,general_question
Can you send my test results thanks,cancel_appointment
I will not attend my appointment please,cancel_appointment
I want to see a doctor about headaches thanks,book_appointment
I need to book an appointment with Dr. Anderson for this afternoon for my child,book_appointment
I have a question about my invoice as soon as possible,billing_question
I will not attend my appointment as soon as possible,cancel_appointment
Can you send my test results for my child,records_request
I need to book an appointment with my family doctor for Friday and I might need help with billing too,book_appointment
Where are you located please,general_question
I am here to check in for my child,check_in
Can you check me in for my visit as soon as possible,check_in
Book me in with Dr. Chen at late afternoon for my child,book_appointment
I arrived for my appointment thanks,check_in
Patient check in for my family doctor thanks,check_in
I have a question about my invoice as soon as possible,billing_question
My insurance payment looks wrong and I might need help with billing too,billing_question
I am here to check in thanks,check_in
I am here to check in,check_in
I want my appointment notes,records_request
Patient check in for my family doctor,check_in
My insurance payment looks wrong and I might need help with billing too,billing_question
I am here to check in as soon as possible,check_in
How can I contact the clinic thanks,general_question
I arrived for my appointment for my child,check_in
Remove my booking for Friday,cancel_appointment
I need a copy of my medical records as soon as possible,records_request
Can I reschedule my appointment to this afternoon and I might need help with billing too,check_in
I need to book an appointment with the dermatologist for this afternoon for my child,book_appointment
I need to move my booking with Dr. Chen and I might need help with billing too,reschedule_appointment
Can you explain my bill as soon as possible,billing_question
Can I schedule a visit for a rash on Friday please,book_appointment
Can I reschedule my appointment to Friday and I might need help with billing too,reschedule_appointment
Can I schedule a visit for a rash on next week thanks,book_appointment
I want my appointment notes please,records_request
Can you explain my bill please,billing_question
Can you explain my bill and I might need help with billing too,records_request
Why was I charged for my visit thanks,billing_question
Change my appointment time to 9:30,reschedule_appointment
Can you send my test results thanks,general_question
I want to see a doctor about headaches thanks,book_appointment
How can I contact the clinic as soon as possible,general_question
I need to book an appointment with Dr. Chen for next week and I might need help with billing too,check_in
Please provide my clinic record as soon as possible,records_request
Can I reschedule my appointment to Friday and I might need help with billing too,reschedule_appointment
Change my appointment time to before work as soon as possible,reschedule_appointment
Please provide my clinic record as soon as possible,records_request
I want my appointment notes and I might need help with billing too,records_request
I need to move my booking with a specialist,reschedule_appointment
